visits,hits,pageviews,transactions,totalTransactionRevenue
3,21,21,1,319.19
2,39,30,1,45.48
1,16,13,1,36.05
7,87,61,1,299.17
2,29,24,1,115.02
1,22,20,1,40.67
2,16,14,1,75.57
5,53,38,1,261.41
3,40,29,1,161.47
1,15,13,1,78.06
2,58,41,1,44.8
5,80,60,1,62.89
1,500,351,1,116.49
1,34,27,1,28.49
5,76,57,1,95.1
4,132,94,1,102.46
1,39,28,1,31.49
3,56,41,1,63.17
3,28,25,1,55.36
2,85,64,1,85.58
4,29,26,1,76.05
1,12,12,1,306.27
2,35,28,1,79.46
6,57,48,2,651.62
9,12,10,1,394.16
14,500,469,4,388.33
3,25,19,1,500.62
7,109,75,1,248.1
2,50,41,1,61.84
1,68,62,1,26.68
2,21,17,1,39.37
12,17,17,1,852.81
1,15,13,1,33.55
1,9,8,1,56.0
1,10,10,1,175.1
9,89,64,1,206.42
5,218,202,3,312.07
2,23,19,1,33.16
1,43,31,1,91.65
15,113,78,2,559.83
2,45,36,1,32.81
1,19,16,1,38.92
3,127,117,2,226.44
1,37,18,1,14.69
1,16,14,1,21.49
5,38,28,1,27.5
12,387,341,6,571.18
14,347,309,3,505.14
9,138,113,2,313.16
2,59,41,1,50.82
3,43,35,2,216.95
13,16,14,1,143.67
1,27,21,1,52.79
3,37,28,1,304.11
3,208,137,1,156.97
1,35,31,1,47.85
1,13,11,1,29.74
6,125,90,1,30.58
1,19,16,1,89.6
3,107,77,2,153.97
3,122,88,1,42.98
6,85,60,1,51.03
1,12,12,1,34.71
1,46,35,1,29.86
2,40,36,1,27.8
2,33,26,1,22.8
7,163,112,2,312.55
2,32,24,1,45.48
2,34,27,1,103.31
2,38,30,1,33.48
4,41,30,1,110.46
2,32,28,1,28.66
3,49,35,1,130.47
1,12,10,1,107.49
3,54,39,1,46.47
1,17,13,1,39.69
1,20,18,1,35.39
4,43,37,2,614.51
8,58,41,1,44.18
5,83,56,1,107.45
4,31,23,1,93.46
5,48,35,1,52.79
1,16,14,1,46.29
7,96,68,2,280.66
1,47,45,1,34.84
2,58,43,1,74.19
8,58,39,1,1140.0
2,15,12,1,363.83
3,38,26,1,36.84
2,64,48,1,63.48
11,83,57,1,192.79
1,32,29,1,45.39
1,15,12,1,50.28
6,160,113,1,225.84
12,146,99,1,224.39
2,65,46,1,50.43
1,26,24,1,26.78
4,100,68,1,59.34
2,40,29,1,29.77
3,12,12,1,143.63
3,39,30,1,57.24
3,26,20,1,955.98
9,130,88,1,220.52
1,14,10,1,28.49
3,29,21,1,88.7
2,24,19,1,47.68
4,63,47,1,79.08
4,19,15,1,136.28
2,32,25,1,56.06
1,11,10,1,474.94
1,13,11,1,64.21
2,23,19,1,200.17
5,70,55,1,79.43
1,22,20,1,32.97
3,43,33,1,83.51
1,36,31,1,59.55
2,20,15,1,168.61
3,26,20,1,123.95
4,29,21,1,38.07
2,30,24,1,56.82
3,10,9,1,102.71
1,21,16,1,462.44
1,28,27,1,9.02
1,32,27,1,33.5
3,14,11,1,70.01
2,48,37,1,61.48
14,119,87,1,393.46
1,43,30,1,119.74
5,14,10,1,807.93
3,73,52,1,77.06
8,57,41,1,234.2
1,24,20,1,49.45
4,40,30,1,89.42
3,25,19,1,66.91
1,43,32,1,142.27
3,50,36,1,51.47
7,110,77,1,62.98
2,29,22,1,42.48
1,14,11,1,37.49
2,26,19,1,17.48
2,106,89,1,3.53
7,77,58,1,682.51
2,22,22,1,80.48
2,28,22,1,188.05
4,50,36,1,101.51
7,54,37,1,146.8
8,75,50,1,145.1
1,13,11,1,20.91
2,20,16,1,10.96
10,106,76,1,92.19
7,111,76,1,411.15
11,78,53,2,307.74
4,55,48,1,500.8
1,34,26,1,45.33
2,30,26,1,49.29
3,105,65,1,55.96
1,29,27,1,35.09
2,31,23,1,47.95
3,35,31,1,19.44
4,33,25,1,10.56
4,40,32,2,76.72
3,44,34,1,40.45
1,16,14,1,29.49
2,37,27,1,47.5
10,92,68,1,217.86
2,20,15,1,42.87
1,24,17,1,40.69
1,14,12,1,11.24
2,16,12,1,173.48
2,18,14,1,51.72
2,21,19,1,70.55
5,38,27,1,69.62
1,16,13,1,33.89
1,13,12,1,112.0
3,53,44,1,9.7
2,23,18,1,62.1
1,13,11,1,680.22
14,81,52,1,262.91
1,18,15,1,62.61
1,18,16,1,123.65
12,122,80,1,173.92
1,63,39,1,50.29
8,60,41,1,320.76
5,47,36,2,108.36
2,23,16,1,13.48
1,12,10,1,32.16
17,73,50,1,542.11
3,33,23,1,57.11
2,26,13,1,41.68
9,89,63,1,139.89
1,14,12,1,13.68
1,17,14,1,53.56
1,13,11,1,47.95
1,34,28,1,12.12
8,14,14,1,365.45
4,39,29,1,99.1
5,58,42,2,179.33
4,103,73,1,113.79
2,23,19,1,42.48
1,30,26,1,39.68
6,93,56,1,205.27
1,23,20,1,62.61
1,10,9,1,128.2
3,33,24,1,23.3
1,25,20,1,22.04
